bedrooms,beds,bath,zipcode,host_is_superhost,review_scores_rating,time_quarter,has_pool,is_petfriendly,has_workspace,has_freeparking,has_gym,home_price_aprx,price,occupancy_rate
2,2,2.0,78702,0,5.0,Q3,0,1,0,1,0,613000,310.0,0.0046125461254612
1,1,1.0,78734,1,4.88,Q3,1,0,0,1,0,648000,156.0,0.5128205128205128
1,1,1.0,78704,0,4.39,Q3,0,0,1,1,0,802000,91.0,0.429769392033543
1,2,1.0,78741,0,4.5,Q3,1,0,1,1,0,397000,60.0,0.034440344403444
4,4,2.0,78747,0,5.0,Q3,1,0,1,1,0,398000,479.0,0.2075702075702075
0,1,1.0,78746,1,4.91,Q3,1,1,1,1,0,1721000,96.0,0.3457216940363007
3,5,3.0,78758,0,4.86,Q3,0,0,1,1,0,398000,669.0,0.0218000622858922
3,5,2.5,78736,1,4.96,Q3,0,1,1,1,0,529000,246.0,0.2650356778797146
1,1,1.0,78745,0,5.0,Q3,0,0,0,1,0,456000,97.0,0.0276625172890733
1,1,1.0,78702,1,4.79,Q3,1,0,1,1,1,613000,183.0,0.1694915254237288
1,1,1.0,78702,1,4.86,Q3,1,0,1,1,1,613000,200.0,0.0858895705521472
1,1,1.0,78702,1,5.0,Q3,1,0,1,1,1,613000,200.0,0.0646551724137931
4,2,2.5,78704,1,5.0,Q3,1,1,1,1,0,802000,265.0,0.0622741173199888
3,2,2.0,78756,1,4.91,Q3,0,0,1,1,0,728000,295.0,0.0378396972824217
3,2,2.0,78749,0,5.0,Q3,1,0,1,1,0,568000,352.0,0.0274187230708969
3,3,3.0,78703,0,4.74,Q3,0,0,1,1,0,1324000,430.0,0.1450511945392491
2,2,2.0,78750,0,4.64,Q3,1,1,1,1,0,603000,80.0,0.402088772845953
3,4,3.0,78744,1,4.74,Q3,0,1,1,1,0,358000,237.0,0.4041450777202072
3,3,2.5,78723,0,5.0,Q3,0,0,1,1,0,502000,125.0,0.1277139208173691
2,2,2.0,78741,0,5.0,Q3,0,0,1,0,1,397000,143.0,0.066079295154185
1,1,1.0,78721,0,4.75,Q3,0,0,1,1,0,464000,89.0,0.1210084033613445
2,2,2.5,78704,1,5.0,Q3,0,1,1,0,0,802000,799.0,0.0394058805698696
3,4,1.0,78734,0,5.0,Q3,0,1,1,1,1,648000,500.0,0.0189753320683111
3,3,2.5,78704,0,5.0,Q3,0,0,1,1,0,802000,314.0,0.0102301790281329
2,2,1.0,78758,1,5.0,Q3,0,1,1,1,0,398000,113.0,0.3535811423390752
3,3,1.0,78745,1,4.91,Q3,1,0,0,1,0,456000,170.0,0.7
1,1,1.0,78702,0,5.0,Q3,0,0,1,1,0,613000,105.0,0.0379027163613392
0,1,1.0,78723,1,5.0,Q3,0,0,0,0,0,502000,189.0,0.1683244070390206
2,2,1.0,78745,1,4.74,Q3,1,0,1,1,0,456000,110.0,0.0608584240871236
3,4,3.0,78746,0,5.0,Q3,0,0,1,1,0,1721000,900.0,0.017752979964494
2,2,2.0,78705,0,4.63,Q3,1,0,1,1,1,353000,176.0,0.7
1,1,1.0,78705,0,4.74,Q3,1,0,1,0,1,353000,137.0,0.7
0,1,1.0,78705,0,4.56,Q3,1,0,1,0,1,353000,164.0,0.7
1,1,1.0,78705,0,4.81,Q3,1,0,1,0,1,353000,180.0,0.7
0,1,1.0,78705,0,4.47,Q3,1,0,1,0,1,353000,126.0,0.7
1,1,1.0,78705,0,4.6,Q3,1,0,1,0,1,353000,149.0,0.7
3,3,2.0,78704,1,4.75,Q3,0,0,1,1,0,802000,275.0,0.2492339121552604
2,2,2.0,78741,0,4.77,Q3,1,1,1,1,1,397000,99.0,0.5588235294117647
2,1,2.0,78753,1,5.0,Q3,0,0,0,1,0,364000,78.0,0.4275534441805225
1,2,1.0,78736,1,4.9,Q3,0,1,0,1,0,529000,95.0,0.3988095238095238
2,2,1.0,78702,1,5.0,Q3,0,1,1,0,0,613000,171.0,0.2118209771096686
3,3,2.5,78744,1,4.75,Q3,0,1,1,0,0,358000,130.0,0.1002255073916311
